2024-12-26 02:08:09,370 = ERROR - Указанный путь не является директорией: C:\программирование\PythonHomework\attectation>
2024-12-26 02:08:09,372 = ERROR - Ошибка при обработке: C:\программирование\PythonHomework\attectation> не является директорией
2024-12-26 02:08:51,408 = ERROR - Указанный путь не является директорией: PythonHomework\attectation>
2024-12-26 02:08:51,408 = ERROR - Ошибка при обработке: PythonHomework\attectation> не является директорией
2024-12-26 02:11:21,206 = INFO - Обработан файл: FileInfo(name='found_candidates', extension='py', is_directory=False, parent_directory='resolvelib')
2024-12-26 02:11:21,206 = INFO - Обработан файл: FileInfo(name='provider', extension='py', is_directory=False, parent_directory='resolvelib')
2024-12-26 02:11:21,206 = INFO - Обработан файл: FileInfo(name='reporter', extension='py', is_directory=False, parent_directory='resolvelib')
2024-12-26 02:11:21,206 = INFO - Обработан файл: FileInfo(name='requirements', extension='py', is_directory=False, parent_directory='resolvelib')
2024-12-26 02:11:21,206 = INFO - Обработан файл: FileInfo(name='resolver', extension='py', is_directory=False, parent_directory='resolvelib')
2024-12-26 02:11:21,206 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='resolvelib')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='appdirs', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='compat', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='compatibility_tags', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='datetime', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='deprecation', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='direct_url_helpers', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='egg_link', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='encoding', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='entrypoints', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='filesystem', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='filetypes', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='glibc', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='hashes', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='inject_securetransport', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='logging', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='misc', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='models', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='packaging', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,207 = INFO - Обработан файл: FileInfo(name='setuptools_build', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,208 = INFO - Обработан файл: FileInfo(name='subprocess', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,208 = INFO - Обработан файл: FileInfo(name='temp_dir', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,208 = INFO - Обработан файл: FileInfo(name='unpacking', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,208 = INFO - Обработан файл: FileInfo(name='urls', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,208 = INFO - Обработан файл: FileInfo(name='virtualenv', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,208 = INFO - Обработан файл: FileInfo(name='wheel', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,208 = INFO - Обработан файл: FileInfo(name='_jaraco_text', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,208 = INFO - Обработан файл: FileInfo(name='_log', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,208 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='utils')
2024-12-26 02:11:21,209 = INFO - Обработан файл: FileInfo(name='bazaar', extension='py', is_directory=False, parent_directory='vcs')
2024-12-26 02:11:21,209 = INFO - Обработан файл: FileInfo(name='git', extension='py', is_directory=False, parent_directory='vcs')
2024-12-26 02:11:21,209 = INFO - Обработан файл: FileInfo(name='mercurial', extension='py', is_directory=False, parent_directory='vcs')
2024-12-26 02:11:21,209 = INFO - Обработан файл: FileInfo(name='subversion', extension='py', is_directory=False, parent_directory='vcs')
2024-12-26 02:11:21,209 = INFO - Обработан файл: FileInfo(name='versioncontrol', extension='py', is_directory=False, parent_directory='vcs')
2024-12-26 02:11:21,209 = INFO - Обработан файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='vcs')
2024-12-26 02:11:21,210 = INFO - Обраюотан каталог: FileInfo(name='cachecontrol', extension=None, is_directory=True, parent_directory='_vendor')
2024-12-26 02:11:21,210 = INFO - Обраюотан каталог: FileInfo(name='certifi', extension=None, is_directory=True, parent_directory='_vendor')
2024-12-26 02:11:21,210 = INFO - Обраюотан каталог: FileInfo(name='chardet', extension=None, is_directory=True, parent_directory='_vendor')
2024-12-26 02:11:21,210 = INFO - Обраюотан каталог: FileInfo(name='colorama', extension=None, is_directory=True, parent_directory='_vendor')
2024-12-26 02:11:21,210 = INFO - Обраюотан каталог: FileInfo(name='distlib', extension=None, is_directory=True, parent_directory='_vendor')
